Gene_name       Ensembl_ID
activin beta A 	ENSLAFG00000012737
aggrecan 1 	ENSLAFG00000009875
Ahr 	ENSLAFG00000015328
alkaline phosphatase 	ENSLAFG00000029718
ameloblastin 	NA
amelogenin 	ENSLAFG00000004777
ameloprotease-I 	NA
antizyme 1 	ENSLAFG00000002779
appican 	NA
Aquaporin1	ENSLAFG00000010172
Aquaporin2 	ENSLAFG00000022222
Aquaporin3 	ENSLAFG00000004987
Aquaporin4 	ENSLAFG00000006158
Aquaporin5 	NA
Aquaporin9 	ENSLAFG00000012160
Arnt 	ENSLAFG00000011282
Axin1 	ENSLAFG00000010774
Axin2 	ENSLAFG00000013628
Barx1 	ENSLAFG00000032689
Bax 	ENSLAFG00000002489
Bcl2 	ENSLAFG00000000574
BEN/DM-GRASP/SC1 	ENSLAFG00000010413
biglycan 	ENSLAFG00000002207
Bmp2 	ENSLAFG00000013216
Bmp3 	ENSLAFG00000016636
Bmp4 	ENSLAFG00000012479
Bmp5 	ENSLAFG00000015978
Bmp6 	ENSLAFG00000013374
Bmp7 	ENSLAFG00000006468
Bono1 	ENSLAFG00000004171
Bpag1 	ENSLAFG00000009708
brevican 	ENSLAFG00000022076
Btrc 	ENSLAFG00000017122
C-Cam 	ENSLAFG00000011277
C-ErbB2 	ENSLAFG00000000286
C-Myb 	ENSLAFG00000018350
C-Myc 	ENSLAFG00000001410
cadherin 1 	ENSLAFG00000016667
Calb1 	ENSLAFG00000007269
catenin beta 	NA
Cd24 	ENSLAFG00000007742
Cd44 	ENSLAFG00000017676
Cdkn1a 	ENSLAFG00000009778
cerebroglycan 	ENSLAFG00000023228
clusterin 	ENSLAFG00000011466
CNR-cluster 	ENSLAFG00000001880
collagen type I 	ENSLAFG00000003435
collagen type II 	ENSLAFG00000010049
collagen type III 	ENSLAFG00000016454
collagen type IV 	ENSLAFG00000004129
collagen type V 	ENSLAFG00000026566
collagen type VI 	ENSLAFG00000013476
collagen type VII 	ENSLAFG00000009559
connexin43 	ENSLAFG00000011349
Crabp1 	ENSLAFG00000018155
Cspg4 	ENSLAFG00000010726
Ctgf/Fisp12 	ENSLAFG00000002298
cyclin A 	ENSLAFG00000001067
Cyclin D1 	ENSLAFG00000007682
Cyp26C1 	ENSLAFG00000006139
cytokeratin 1 	ENSLAFG00000010629
cytokeratin 10 	ENSLAFG00000011407
cytokeratin 13 	ENSLAFG00000004694
cytokeratin 18 	ENSLAFG00000003179
cytokeratin 19 	ENSLAFG00000027762
cytokeratin 4 	ENSLAFG00000005514
cytokeratin 5 	ENSLAFG00000006104
cytokeratin 7 	ENSLAFG00000010614
cytokeratin 8 	ENSLAFG00000028611
Dab1 	ENSLAFG00000012261
decorin 	ENSLAFG00000006742
dentin phosphoprotein 	ENSLAFG00000004781
dentin sialophosphoprotein 	NA
dentin sialophosphoprotein 	NA
Dermo1 	ENSLAFG00000032174
desmoglein 	ENSLAFG00000017709
Dll1 	ENSLAFG00000001043
Dlx1 	ENSLAFG00000003551
Dlx2 	ENSLAFG00000003554
Dlx3 	ENSLAFG00000028511
Dlx4 	ENSLAFG00000013453
Dlx5 	ENSLAFG00000022895
Dlx6 	ENSLAFG00000018015
Ectodin 	ENSLAFG00000028775
Eda 	ENSLAFG00000032046
Edar 	ENSLAFG00000000751
Edaradd 	ENSLAFG00000020561
Egf 	ENSLAFG00000013803
EGFR 	ENSLAFG00000014393
Egr1 	ENSLAFG00000016505
enamelin 	ENSLAFG00000030267
enamelysin 	ENSLAFG00000010998
endothelin 	ENSLAFG00000007305
EphA7 	ENSLAFG00000018084
ErbB3 	ENSLAFG00000014798
ErbB4 	NA
Fadd 	NA
Fas 	NA
Fgf1 	ENSLAFG00000005484
Fgf10 	ENSLAFG00000017113
Fgf2 	 ENSLAFG00000008247
Fgf3 	NA
Fgf4 	ENSLAFG00000025574
Fgf7 	ENSLAFG00000009981
Fgf8 	ENSLAFG00000028373
Fgf9 	ENSLAFG00000017616
Fgfr1 	ENSLAFG00000018249
Fgfr2	ENSLAFG00000009269
