scaffoldName	chromosome	orientation
scaffold_25	1	-
scaffold_54	1	+
scaffold_44	1	-
scaffold_0	1	-
scaffold_69	1	+
scaffold_88	10	+
scaffold_6	10	+
scaffold_49	11	+
scaffold_31	11	-
scaffold_47	11	+
scaffold_20	12	+
scaffold_53	12	-
scaffold_45	12	+
scaffold_4	13	-
scaffold_58	14	+
scaffold_158	14	+
scaffold_50	14	-
scaffold_27	14	-
scaffold_8	15	+
scaffold_23	16	-
scaffold_51	17	-
scaffold_59	17	+
scaffold_28	17	+
scaffold_10	18	+
scaffold_12	19	+
scaffold_33	2	-
scaffold_11	2	+
scaffold_60	2	-
scaffold_17	2	+
scaffold_34	2	-
scaffold_26	2	+
scaffold_43	20	-
scaffold_48	20	+
scaffold_57	20	-
scaffold_37	20	+
scaffold_13	21	+
scaffold_16	22	+
scaffold_137	23	+
scaffold_19	23	-
scaffold_36	24	-
scaffold_68	25	+
scaffold_22	25	+
scaffold_29	26	-
scaffold_42	26	-
scaffold_41	26	-
scaffold_76	27	+
scaffold_40	27	+
scaffold_52	27	-
scaffold_1	3	-
scaffold_7	3	-
scaffold_15	4	+
scaffold_2	4	+
scaffold_46	5	-
scaffold_3	5	-
scaffold_55	5	-
scaffold_109	5	NA
scaffold_14	6	-
scaffold_30	6	+
scaffold_38	6	-
scaffold_18	6	-
scaffold_35	7	-
scaffold_180	7	NA
scaffold_62	7	+
scaffold_1053	7	NA
scaffold_21	7	-
scaffold_63	8	+
scaffold_5	8	+
scaffold_101	8	+
scaffold_83	8	+
scaffold_80	9	+
scaffold_9	9	+
scaffold_94	X	+
scaffold_39	X	+
scaffold_56	X	-
scaffold_24	X	-
scaffold_32	X	-
scaffold_120	X	+
